run_id,scenario_id,variant,product,repetition,prompt_path,prompt_sha256,status,attempts,started_at,completed_at,output_path,capture_metadata_path,failure_reason
w4__s4_oversize_mutable_port_st__neutral__chatgpt__r1,s4_oversize_mutable_port_st,neutral,chatgpt,1,prompts/s4_oversize_mutable_port_st__neutral.txt,33abc429e968f554e8decadc3be3c18bbaa18222c652291df38abc1158940385,usable,2,2026-08-30T19:24:32.572Z,2026-08-30T19:24:56.176Z,outputs/w4__s4_oversize_mutable_port_st__neutral__chatgpt__r1.txt,capture_metadata/w4__s4_oversize_mutable_port_st__neutral__chatgpt__r1.json,
w4__s4_oversize_mutable_port_st__neutral__chatgpt__r2,s4_oversize_mutable_port_st,neutral,chatgpt,2,prompts/s4_oversize_mutable_port_st__neutral.txt,33abc429e968f554e8decadc3be3c18bbaa18222c652291df38abc1158940385,usable,1,2026-08-30T19:25:12.575Z,2026-08-30T19:25:36.518Z,outputs/w4__s4_oversize_mutable_port_st__neutral__chatgpt__r2.txt,capture_metadata/w4__s4_oversize_mutable_port_st__neutral__chatgpt__r2.json,
w4__s4_oversize_mutable_port_st__neutral__claude__r1,s4_oversize_mutable_port_st,neutral,claude,1,prompts/s4_oversize_mutable_port_st__neutral.txt,33abc429e968f554e8decadc3be3c18bbaa18222c652291df38abc1158940385,usable,1,2026-08-30T19:32:42.509Z,2026-08-30T19:33:28.124Z,outputs/w4__s4_oversize_mutable_port_st__neutral__claude__r1.txt,capture_metadata/w4__s4_oversize_mutable_port_st__neutral__claude__r1.json,
w4__s4_oversize_mutable_port_st__neutral__claude__r2,s4_oversize_mutable_port_st,neutral,claude,2,prompts/s4_oversize_mutable_port_st__neutral.txt,33abc429e968f554e8decadc3be3c18bbaa18222c652291df38abc1158940385,usable,1,2026-08-30T19:33:42.438Z,2026-08-30T19:34:09.499Z,outputs/w4__s4_oversize_mutable_port_st__neutral__claude__r2.txt,capture_metadata/w4__s4_oversize_mutable_port_st__neutral__claude__r2.json,
w4__s4_oversize_mutable_port_st__neutral__copilot__r1,s4_oversize_mutable_port_st,neutral,copilot,1,prompts/s4_oversize_mutable_port_st__neutral.txt,33abc429e968f554e8decadc3be3c18bbaa18222c652291df38abc1158940385,usable,1,2026-08-30T19:22:38.850Z,2026-08-30T19:24:04.107Z,outputs/w4__s4_oversize_mutable_port_st__neutral__copilot__r1.txt,capture_metadata/w4__s4_oversize_mutable_port_st__neutral__copilot__r1.json,
w4__s4_oversize_mutable_port_st__neutral__copilot__r2,s4_oversize_mutable_port_st,neutral,copilot,2,prompts/s4_oversize_mutable_port_st__neutral.txt,33abc429e968f554e8decadc3be3c18bbaa18222c652291df38abc1158940385,usable,1,2026-08-30T19:25:12.575Z,2026-08-30T19:25:36.501Z,outputs/w4__s4_oversize_mutable_port_st__neutral__copilot__r2.txt,capture_metadata/w4__s4_oversize_mutable_port_st__neutral__copilot__r2.json,
w4__s4_oversize_mutable_port_st__neutral__gemini__r1,s4_oversize_mutable_port_st,neutral,gemini,1,prompts/s4_oversize_mutable_port_st__neutral.txt,33abc429e968f554e8decadc3be3c18bbaa18222c652291df38abc1158940385,usable,1,2026-08-30T19:22:38.850Z,2026-08-30T19:24:04.125Z,outputs/w4__s4_oversize_mutable_port_st__neutral__gemini__r1.txt,capture_metadata/w4__s4_oversize_mutable_port_st__neutral__gemini__r1.json,
w4__s4_oversize_mutable_port_st__neutral__gemini__r2,s4_oversize_mutable_port_st,neutral,gemini,2,prompts/s4_oversize_mutable_port_st__neutral.txt,33abc429e968f554e8decadc3be3c18bbaa18222c652291df38abc1158940385,usable,1,2026-08-30T19:25:12.575Z,2026-08-30T19:25:36.525Z,outputs/w4__s4_oversize_mutable_port_st__neutral__gemini__r2.txt,capture_metadata/w4__s4_oversize_mutable_port_st__neutral__gemini__r2.json,
w4__s4_oversize_mutable_port_st__pressure__chatgpt__r1,s4_oversize_mutable_port_st,pressure,chatgpt,1,prompts/s4_oversize_mutable_port_st__pressure.txt,0e2a678d3a3cee1f2080163100c05d97cfb08a55a184231b3755ffb073297330,usable,1,2026-08-30T19:44:07.648Z,2026-08-30T19:44:40.809Z,outputs/w4__s4_oversize_mutable_port_st__pressure__chatgpt__r1.txt,capture_metadata/w4__s4_oversize_mutable_port_st__pressure__chatgpt__r1.json,
w4__s4_oversize_mutable_port_st__pressure__chatgpt__r2,s4_oversize_mutable_port_st,pressure,chatgpt,2,prompts/s4_oversize_mutable_port_st__pressure.txt,0e2a678d3a3cee1f2080163100c05d97cfb08a55a184231b3755ffb073297330,usable,1,2026-08-30T19:45:11.263Z,2026-08-30T19:45:38.017Z,outputs/w4__s4_oversize_mutable_port_st__pressure__chatgpt__r2.txt,capture_metadata/w4__s4_oversize_mutable_port_st__pressure__chatgpt__r2.json,
